Date : 2025-06-26 19:26:32
Directory : c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework
Total : 108 files,  6849 codes, 207 comments, 892 blanks, all 7948 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        105 |      6,404 |        198 |        888 |      7,490 |
| XML      |          1 |        427 |          7 |          0 |        434 |
| PostCSS  |          1 |         13 |          2 |          4 |         19 |
| JSON     |          1 |          5 |          0 |          0 |          5 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Controllers\ProductManagementController.cs                          | C#       |        300 |          0 |         43 |        343 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Controllers\ProductsController.cs                                   | C#       |        171 |          0 |         23 |        194 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Data\ApplicationDbContext.cs                                        | C#       |         67 |          4 |         10 |         81 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Data\DbSeeder.cs                                                    | C#       |      1,587 |         68 |         76 |      1,731 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Data\Enums\OrderStatus.cs                                           | C#       |         18 |          0 |          1 |         19 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Data\Enums\PaymentMethod.cs                                         | C#       |         16 |          0 |          1 |         17 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Data\Enums\PaymentStatus.cs                                         | C#       |         14 |          0 |          1 |         15 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Data\Enums\TimePeriod.cs                                            | C#       |         15 |          0 |          1 |         16 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Account\LoginDto.cs                                            | C#       |         12 |          0 |          1 |         13 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Account\RegisterDto.cs                                         | C#       |         16 |          0 |          2 |         18 |
