"filename", "language", "C#", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\AccountRelated\AdminCreateUserDto.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\AccountRelated\UpdateUserRoleDto.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardDto.cs", "C#", 18, 0, 0, 0, 0, 1, 19
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardLowStockProductsDto.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardMostVisitedProductsDto.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardOrderSummaryDto.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardProductsOverviewDto.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardSalesDto.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardTopCartedProductsDto.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardTopSellingBrandsDto.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardTopSellingProductDto.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\LowStockProductDto.cs", "C#", 12, 0, 0, 0, 0, 1, 13
